Пройденные курсы			
Аналитика для начинающих интернет-маркетологов	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Как стать дизайнером	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Основы информационной безопасности	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
1С-Битрикс:Контент-менеджер	ООО «1С-Битрикс»	Электронный	Сертификат
Введение в арбитраж трафика и CPA маркетинг	Stepik - образовательная платформа	Электронный	Сертификат
1С-Битрикс:Продвижение сайта и Маркетинг	ООО «1С-Битрикс»	Электронный	Сертификат
Специалист по Яндекс.Метрике	Yandex	Электронный	Сертификат
Курс по Google Аналитике для начинающих	Google Analytics Academy	Электронный	Сертификат
Специалист по Яндекс.Директу	Yandex	Электронный	Сертификат
Adobe Photoshop. Коллажирование	Образовательная платформа GeekBrains	Электронный	Сертификат
Как создать личный блог: курс "Создание блога на Wordpress"	Образовательная платформа GeekBrains	Электронный	Сертификат
Сертификация по контекстно-медийной сети Google Рекламы	Skillshop Google	Электронный	Сертификат
Сертификация по оценке эффективности объявлений в Google Рекламе	Skillshop Google	Электронный	Сертификат
Основы графического дизайна c Canva	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Основы Figma	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Основы программирования	Образовательная платформа GeekBrains	Электронный	Сертификат
Основы работы с маркетплейсами	Skillbox	Нет	1.Пример работы ( первая инфографика)   2.Тестовое задание  и вот что вышло          3.Инфографика игрушки              4. Инфографика разделочных досок 
Дизайнер сайтов на Tilda	Skillbox	Нет	Пример работы
HR	Образовательная платформа GeekBrains	Электронный	Сертификат
Introduction to Computers and Office Productivity Software (Введение в компьютеры и офисное программное обеспечение)	The Hong Kong University of Science and Technology (Гонконгский университет науки и технологий)                   платформа Сoursera	Электронный	Сертификат
Technical Support Fundamentals (Основы технической поддержки)	Google                                            (платформа Сoursera)	Электронный	Сертификат
Social media marketing strategy 2022. Launch your SMM!  (Стратегия маркетинга в социальных сетях 2022)	Udemy-платформа для онлайн-обучения	Электронный	Сертификат
COVID-19 Training for Healthcare Workers                   (Тренинг по COVID-19)	Stanford Online (образовательная инициатива Стэнфордского университета)                  платформа Сoursera	Электронный	Сертификат
 Promoting and Protecting Human Rights: a Global Overview                                               (защита прав человека: глобальный обзор)	Global Campus of Human Rights (Глобальный кампус прав человека)	Электронный	Сертификат
Business Communications (Деловые коммуникации)	HP Life	Электронный	Сертификат
Achieving Sustainable Development Goals on Water and Sanitation                            (Достижение целей устойчивого развития в области водоснабжения и санитарии)	Asian Development Bank Institute (Институт Азиатского банка развития)	Электронный	Сертификат
Введение: COVID-19, способы диагностики, профилактики, лечения и контроля	World Health Organization (Всемирная организация здравоохранения)	Электронный	Сертификат              ( Проверка )
"The Federal Emergency Management Agency / The Center for
Domestic Preparedness (Федеральное агентство по управлению в чрезвычайных ситуациях США / Центр внутренней готовности)"	Response Considerations During an Outbreak or Pandemic (Рекомендации по реагированию во время вспышки или пандемии)	Электронный	Сертификат
COVID-19 Contact Tracing (Отслеживание контактов COVID-19)	Johns Hopkins University (Университет Джонса Хопкинса)                          платформа Сoursera	Электронный	Сертификат
The Monitoring and Controls Learning Track                                (Курс обучения мониторингу и контролю)	Grundfos Ecademy	Электронный	Сертификат
Социально-экологические принципы Всемирного банка	World Bank Group             (Всемирный банк)	Электронный	Сертификат
BSAFE	United Nations Department of Safety and Security (Департамент по вопросам охраны и безопасности ООН)	Электронный	Сертификат
Gender Equality in Preparedness and Humanitarian Action	UNICEF - United Nations International Children's Emergency Fund	Электронный	Сертификат
Human Health and Climate Change                                   (Здоровье человека и изменение климата)	UN CC:Learn ( Обучение ООН)	Электронный	Сертификат
Essentials of fire safety inspections (Основы пожарной безопасности)	International Training Centre of the ILO (ITCILO)                                   (Учебный центр Международной организации) 	Электронный	Сертификат
Cyber Diplomacy                      (Кибер дипломатия)	United Nations Office for Disarmament Affairs (Управление по вопросам разоружения ООН)	Электронный	Сертификат
