Пройденные курсы			
Lean Six Sigma Black Belt Training & Certification Program (Программа обучения и сертификации Lean Six Sigma Black Belt)	Juran                                         Платформа edX	Электронный	Профессиональный сертификат
 Lean Production                              (Бережливое производство)	Technical University of Munic (Мюнхенский технический университет)                                    Платформа edX	Электронный	Сертификат
Knowledge Management and Big Data in Business (Управление знаниями и большие данные в бизнесе)	The Hong Kong Polytechnic University (PolyU)                                (Гонконгский политехнический университет)                                   Платформа edX	Электронный	Сертификат
How to Revolutionize your Business                                       (Как революционизировать свой бизнес)	The Hong Kong Polytechnic University (PolyU)                                (Гонконгский политехнический университет)                                   Платформа edX	Электронный	Сертификат
Business Excellence in a knowledge-driven Industry 4.0 world                             (Совершенствование бизнеса в мире Индустрии 4.0, основанной на знаниях)	The Hong Kong Polytechnic University (PolyU)                                (Гонконгский политехнический университет)                                   Платформа edX	Электронный	Профессиональный сертификат
Electricity Distribution (Распределение электроэнергии)	The National University of Singapore                                              (Национальный университет Сингапура)                   Платформа edX	Электронный	Сертификат
AC and Switching Circuits (Цепи переменного тока и коммутации)	The National University of Singapore                                              (Национальный университет Сингапура)                   Платформа edX	Электронный	Сертификат
Foundations of Microgrids (Основы микросетей)	University of Alaska Fairbanks (Университет Аляски в Фэрбенксе)                                    Платформа edX	Электронный	Сертификат
Возобновляемые источники энергии	Южно-Уральский Государственный Университет Платформа Лекториум	Электронный	Сертификат
Spiritual Competency Training in Mental Health                    (Обучение духовной компетентности в области психического здоровья)	University System of Maryland (Университетская система штата Мэриленд)                     Платформа edX	Электронный	Сертификат
Lifestyle Medicine Fundamentals                            (Основы медицины образа жизни)	Doane University                            (Университет Доун)                          Платформа edX	Электронный	Сертификат
CS50 Technology	Harvard University                 (Гарвардский университет)           	Электронный	Сертификат
Liderazgo estratégico internacional                    (Международное стратегическое лидерство)	Anahuac University Network (Сеть университета Анауак) Платформа edX	Электронный	Сертификат
E-Leadership                   (Электронное лидерство)	Anahuac University Network (Сеть университета Анауак) Платформа edX	Электронный	Сертификат
E-Leadership: liderazgo en la Era Virtual                                  (E-Leadership: Лидерство в виртуальную эпоху)	Anahuac University Network (Сеть университета Анауак) Платформа edX	Электронный	Профессиональный сертификат
Comercio digital: reinventando los modelos de negocio (Цифровая коммерция: переосмысление бизнес-моделей)	Tecnológico de Monterrey (Технический университет Монтеррея)                  Платформа edX	Электронный	Сертификат
Marketing digital y sus análisis basado en datos                (Цифровой маркетинг и его аналитика на основе данных)	Tecnológico de Monterrey (Технический университет Монтеррея)                  Платформа edX	Электронный	Сертификат
Marketing digital y customer engagement                             (Цифравой маркетинг и привлечение клиентов)	Tecnológico de Monterrey (Технический университет Монтеррея)                  Платформа edX	Электронный	Профессиональный сертификат
Why Move Towards Cleaner Power                                   (Зачем переходить на более чистую энергию)	Imperial College London (Имперский колледж Лондона) Платформа edX	Электронный	Сертификат
Creating a Pro-Renewables Environment                    (Создание среды, поддерживающей возобновляемые источники энергии)	Imperial College London (Имперский колледж Лондона) Платформа edX	Электронный	Сертификат
Incorporating Renewable Energy in Electricity Grids (Включение возобновляемых источников энергии в электрические сети)	Imperial College London (Имперский колледж Лондона) Платформа edX	Электронный	Сертификат
Clean Power                                       (Чистая энергия)	Imperial College London (Имперский колледж Лондона) Платформа edX	Электронный	Профессиональный сертификат
Retail Fundamentals                 (Основы розничной торговли)	Dartmouth College                     (Дартмут Колледж)                      Платформа edX	Электронный	Сертификат
Omnichannel Strategy and Management                (Стратегия и управление омниканальным бизнесом)	Dartmouth College                     (Дартмут Колледж)                      Платформа edX	Электронный	Сертификат
Retail and Omnichannel Management                  (Розничная торговля и многоканальное управление)	Dartmouth College                     (Дартмут Колледж)                      Платформа edX	Электронный	Профессиональный сертификат
Introduction to Internationalization and Localization                    (Введение в интернационализацию и локализацию)	Университет Вашингтона (University of Washington)      Платформа edX	Электронный	Сертификат
Introduction to Risk Management                  (Введение в управление рисками)	New York Institute of Finance (Нью-Йоркский финансовый институт)                       Платформа edX	Электронный	Сертификат
Measuring Risk: Equity, Fixed Income, Derivatives and FX (Измерение риска: акции, фиксированный доход, деривативы и валюта)	New York Institute of Finance (Нью-Йоркский финансовый институт)                       Платформа edX	Электронный	Сертификат
Risk Management Tools and Practices                       (Инструменты и практика управления рисками)	New York Institute of Finance (Нью-Йоркский финансовый институт)                       Платформа edX	Электронный	Сертификат
Stress Testing and Risk Regulation – Part 1 (Стресс-тестирование и регулирование рисков - часть 1)	New York Institute of Finance (Нью-Йоркский финансовый институт)                       Платформа edX	Электронный	Сертификат
Stress Testing and Risk Regulation – Part 2 (Стресс-тестирование и регулирование рисков - часть 2)	New York Institute of Finance (Нью-Йоркский финансовый институт)                       Платформа edX	Электронный	Сертификат
Ready, Set, Future! Introduction to Futures Thinking                        (Готовься, настраивайся, будущее! Введение в перспективное мышление)	Institute for the Future                    (Институт будущего)                Платформа Coursera	Электронный	Сертификат
Preparing to Manage Human Resources                              (Подготовка к управлению человеческими ресурсами)	University of Minnesota (Университет Миннесоты) Платформа Coursera	Электронный	Сертификат
Principles of Management                              (Принципы управления)	Johns Hopkins University (Университет Джона Хопкинса) Платформа Coursera	Электронный	Сертификат
"Prompt Engineering
(Специализация)                           1. Prompt Engineering for ChatGPT                 (Оперативное проектирование для ChatGPT)                                               2.   ChatGPT Advanced Data Analysis                            (ChatGPT Расширенный анализ данных)                             3. Trustworthy Generative AI (Надежный генеративный ИИ)"	Vanderbilt University (Университет Вандербильта)	Электронный	Сертификат по специализации                1. Сертификат                            2. Сертификат             3. Сертификат
ChatGPT for Everyone (ЧатGPT для всех)	Learn Prompting	Электронный	Сертификат
Gen AI for Data Privacy & Protection                  (Поколение искусственного интеллекта для конфиденциальности и защиты данных)	Edureka	Электронный	Сертификат
"Living with Dementia: Impact on Individuals,
 Caregivers, Communities and Societies                                         (Жизнь с деменцией: влияние на отдельных людей,
Ухаживающие, сообщества и общества)"	Johns Hopkins University (Университет Джона Хопкинса) Платформа Coursera	Электронный	Сертификат
"1.Generative AI: Prompt Engineering Basics (Генеративный ИИ: основы проектирования подсказок)     2.Generative AI: Introduction and Applications
(Генеративный искусственный интеллект: введение и применение)                                     3. Generative AI: Foundation Models and Platforms (Генеративный ИИ: базовые модели и платформы)             4. Generative AI: Impact, Considerations, and Ethical Issues                 (Генеративный ИИ: влияние, соображения и этические проблемы) 5.Generative AI: Business Transformation and Career Growth (Генеративный ИИ: трансформация бизнеса и карьерный рост)  
6. Specialization: Generative AI Fundamentals (Специализация: Основы генеративного искусственного интеллекта)"	IBM                                                Платформа Coursera	Электронный	"1.Сертификат    2.Сертификат           3. Сертификат  
Badge:Generative AI Essentials           Badge:Generative AI: Impact, Considerations, and Ethical Issues               4. Сертификат           5. Сертификат 
6.Сертификат специализации"
Google AI Essentials                  (Основы искусственного интеллекта Google)	Google                             Платформа Coursera	Электронный	Сертификат
1.AI Essentials (Основы искусственного интеллекта)  2.The Intel® AI Value (Ценность Intel® AI)                  3. Intel® AI Win Recipes (Рецепты Intel® AI Win)                4. Specialization: Intel® AI Fundamentals (Специализация: Основы Intel® AI) 	Intel                                       Платформа Coursera	Электронный	1.Сертификат   2.Сертификат            3.Сертификат  6.Сертификат специализации
MIS01x: AI for Leaders (MIS01x: ИИ для лидеров)	Babson College (Колледж Бабсон)                                    Платформа edX	Электронный	Сертификат
Discover Acting               (Откройте для себя актерское мастерство)	University of London (Лондонский университет) Платформа Coursera	Электронный	Сертификат
Elements of AI                (Элементы искусственного интеллекта)	University of Helsinki (Университет Хельсинки)	Электронный	Сертификат
OpenAI GPTs: Creating Your Own Custom AI Assistants               (OpenAI GPTs: Создание собственных пользовательских ИИ-помощников)	Vanderbilt University (Университет Вандербильта) Платформа Coursera	Электронный	Сертификат
Generative Pre-trained Transformers (GPT) (Генеративные предварительно обученные трансформаторы (GPT))	University of Glasgow (Университет Глазго) Платформа Coursera	Электронный	Сертификат
Inteligencia Artificial (IA): Interacciones y prompts (Искусственный интеллект (ИИ): взаимодействие и подсказки)	Universidad de Palermo (Университет Палермо) Платформа Coursera	Электронный	Сертификат
"AI for Education (Advanced)(
ИИ для образования (продвинутый уровень))"	University System of Georgia (Университетская система Джорджии) Платформа Coursera	Электронный	Сертификат
Artificial Intelligence                        (Искусственный интеллект)	Illinois Institute of Technology (Технологический институт Иллинойса) Платформа Coursera	Электронный	Сертификат
AI0151EN: Impact, Ethics, and Issues with Generative AI (AI0151EN: Влияние, этика и проблемы генеративного ИИ)	IBM                                                Платформа EDX	Электронный	Сертификат
Generative AI Content Creation (Генеративный ИИ для создания контента)	Adobe                                               Платформа Coursera	Электронный	Сертификат
Solve Business Problems with AI and Machine Learning (Решайте бизнес-задачи с помощью искусственного интеллекта и машинного обучения)	CertNexus                                              Платформа Coursera	Электронный	Сертификат
Generative AI Advance Fine-Tuning for LLMs (Генеративный искусственный интеллект для тонкой настройки LLM)	IBM                                               Платформа Coursera	Электронный	Сертификат
Follow a Machine Learning Workflow                                              (Следуйте рабочему процессу машинного обучения)	CertNexus                                              Платформа Coursera	Электронный	Сертификат
AI Agents Fundamentals (Основы работы агентов искусственного интеллекта)	Hugging Face	Электронный	Сертификат
AI Agents: From Prompts to Multi-Agent Systems                            (Агенты искусственного интеллекта: От подсказок до многоагентных систем)	University of California, Davis (Университет Калифорния, Дэвис)                                        Платформа Coursera	Электронный	Сертификат
Introduction to Artificial Intelligence (AI)                   (Введение в искусственный интеллект (ИИ)	IBM                                       Платформа Coursera	Электронный	Сертификат
Intro to Snowflake for Devs, Data Scientists, Data Engineers                (Введение в Snowflake для разработчиков, специалистов по обработке данных и инженеров данных)	Snowflake                                     Платформа Coursera	Электронный	Сертификат
C# (Basic)	hackerrank.com	Электронный	Сертификат
"AI0141EN: Models and Platforms for Generative AI
 (AI0141EN: Модели и платформы для генеративного искусственного интеллекта)"	IBM                                                Платформа EDX	Электронный	Сертификат
AI Fundamentals                       (Основы искусственного интеллекта)	Google                                     Платформа Coursera	Электронный	Сертификат
Claude Code in Action	Anthropic Academy		
